"year","rating","length","movie_name","Genres:","Rate:","Added to Netflix:","Director:","Cast:","Production Country:","New Season Added:"
"2019","7.1/10","82 min","I am Jonas","Dramas, Independent Movies, International Movies","","March 6, 2020","Christophe Charrier","Félix Maritaud, Nicolas Bauwens, Tommy Lee Baik, Aure Atika, Marie Denarnaud, Ilian Bergala, Pierre Cartonnet, Marcel Bouzige, Nicolas Sartous","France",NA
"2019","7.3/10","115 min","Miles Davis: Birth of the Cool","Documentaries, Music & Musicals","","March 6, 2020","Stanley Nelson","Miles Davis, Carl Lumbly","United States",NA
"2020","6.1/10","111 min","Spenser Confidential","Action & Adventure, Comedies","","March 6, 2020","Peter Berg","Mark Wahlberg, Winston Duke, Alan Arkin, Bokeem Woodbine, Iliza Shlesinger, Hope Olaide Wilson, Marc Maron","United States",NA
"2020","5.0/10","110 min","Twin Murders: the Silence of the White City","International Movies, Thrillers","","March 6, 2020","Daniel Calparsoro","Belén Rueda, Javier Rey, Aura Garrido, Manolo Solo, Alex Brendemühl, Ramón Barea, Sergio Dorado, Allende Blanco, Rubén Ochandiano","Spain",NA
"2020","7.7/10","2 Seasons","Ugly Delicious","Docuseries","",NA,NA,"David Chang, Peter Meehan","United States","March 6, 2020"
"2016","6.1/10","121 min","93 Days","Dramas, International Movies, Thrillers","","March 5, 2020","Steve Gukas","Bimbo Akintola, Somkele Iyamah, Danny Glover, Gideon Okeke, Seun Kentebe, Keppy Ekpenyong, Zara Udofia Ejoh, Bimbo Manuel, Patrick Diabuah, Tina Mba, Alastair Mackenzie, Tim Reid","Nigeria",NA
"2020",NA,"162 min","Angu Vaikuntapurathu (Malayalam)","Action & Adventure, Comedies, Dramas","","March 5, 2020","Trivikram Srinivas","Allu Arjun, Pooja Hegde, Tabu, Sushanth, Nivetha Pethuraj, Jayaram, Murli Sharma",NA,NA
"2020","6.5/10","1 Season","Mighty Little Bheem: Festival of Colors","Kids' TV, TV Comedies","","March 5, 2020",NA,"Samruddhi Shukla, Aranya Kaur, Rajesh Kava, Nishka Raheja, Sabina Malik, Shanoor Mirza","India",NA
"2018","5.9/10","2 Seasons","The Investigator: A British Crime Story","British TV Shows, Crime TV Shows, Docuseries","",NA,NA,"Mark Williams-Thomas, Rick Warden, Frances Millar, Tanya Winsor, Alice Harding, David Bannerman, Danielle Bird, Eve Perry, Polly Lewis, Billy James Machin","United Kingdom","March 5, 2020"
"2019","5.9/10","108 min","Tootsies & The Fake","Comedies, International Movies, LGBTQ Movies","","March 5, 2020","Kittiphak Thonguam","Araya A. Hargate, Paopetch Charoensook, Thongkanthom Thongchai, Ratthanant Janyajirawong, Pattarasaya Kreuasuwansri, Gunn Svasti Na Ayudhya, Kritsanapoom Pibulsonggram, Keetapat Pongruea","Thailand",NA
"2010","6.3/10","186 min","Aurora","Dramas, International Movies","","March 4, 2020","Cristi Puiu","Cristi Puiu, Clara Voda, Catrinel Dumitrescu, Luminita Gheorghiu, Valentin Popescu, Gheorghe Ifrim, Ileana Puiu, Valeria Seciu, Gelu Colceag","Romania, France, Switzerland, Germany",NA
"2019","7.5/10","116 min","Lil Peep: Everybody’s Everything","Documentaries, Music & Musicals","","March 4, 2020","Sebastian Jones, Ramez Silyan","Lil Peep","United States",NA
"2005","8.0/10","154 min","The Death of Mr. Lazarescu","Dramas, International Movies","","March 4, 2020","Cristi Puiu","Monica Bârlãdeanu, Ion Fiscuteanu, Doru Ana, Dragos Bucur, Gabriel Spahiu, Dan Chiriac, Luminita Gheorghiu, Alina Berzunteanu, Dana Dogaru, Mimi Brãnescu","Romania",NA
"2016","8.2/10","4 Seasons","Velvet","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","",NA,"Carlos Sedes","Paula Echevarría, Miguel Ángel Silvestre, Aitana Sánchez-Gijón, Manuela Velasco, Manuela Vellés, Marta Hazas, Javier Rey, Maxi Iglesias, Cecilia Freire, Adrián Lastra, Miriam Giovanelli, Natalia Millán, José Sacristán, Ingrid Rubio, Peter Vives, Llorenç González, Ángela Molina, Pastora Vega","Spain","March 4, 2020"
"2018","6.5/10","105 min","Freaks","Independent Movies, Sci-Fi & Fantasy, Thrillers","","March 3, 2020","Adam B. Stein, Zach Lipovsky","Emile Hirsch, Bruce Dern, Lexy Kolker, Grace Park, Amanda Crew, Aleks Paunovic, Michelle Harrison","United States, Canada",NA
"2019","5.3/10","104 min","Freshman Year","Dramas, Faith & Spirituality","","March 3, 2020","Jude Okwudiafor Johnson","Diallo Thompson, Natalia Dominguez, Benjamin A. Onyango, Gregory Alan Williams, Desalene Jones, Wynton Odd, Ed Gonzalez Moreno, Natasha Dee Davis, Cameron Schaefer, Joshua Flores-Q","United States",NA
"2019",NA,"71 min","Luccas Neto in: The End of Christmas","Children & Family Movies, Comedies, Music & Musicals","","March 3, 2020","Lucas Margutti","Luccas Neto, Giovanna Alparone, Cleber Salgado, Bruno Bebianno, Lucas Margutti, Vivian Duarte","Brazil",NA
"2020","7.3/10","61 min","Taylor Tomlinson: Quarter-Life Crisis","Stand-Up Comedy","","March 3, 2020","Marcus Raboy","Taylor Tomlinson","United States",NA
"2019","7.2/10","133 min","The Last Bomb of the Second World War","Dramas, Independent Movies, International Movies","","March 3, 2020","Athiyan Athirai","Dinesh, Anandhi, Munishkanth, Riythvika, John Vijay","India",NA
"2019",NA,"98 min","Uncovered","Dramas, International Movies","","March 3, 2020","Zuko Nodada","Nqobile Khumalo, Robert Hobbs, S'Thandiwe Kgoroge, Dumisani Mbebe, Thandeka Nodada, Fezile Makhanya","South Africa",NA
"2011","6.2/10","119 min","W.E.","Dramas, Romantic Movies","","March 3, 2020","Madonna","Abbie Cornish, Andrea Riseborough, James D'Arcy, Oscar Isaac, Richard Coyle, David Harbour, James Fox, Judy Parfitt, Haluk Bilginer, Geoffrey Palmer, Natalie Dormer","United Kingdom",NA
"2020","7.2/10","61 min","Fat Ballerina - David A. Arnold","Stand-Up Comedy","","March 2, 2020","Milton Horowitz","David A. Arnold","United States",NA
"2014","7.7/10","1 Season","Akame ga Kill!","Anime Series, Crime TV Shows, International TV Shows","","March 1, 2020",NA,"Sora Amamiya, Soma Saito, Yukari Tamura, Yuu Asakawa, Mamiko Noto, Yoshitsugu Matsuoka, Katsuyuki Konishi, Risa Mizuno, Satomi Akesaka","Japan",NA
"2020","8.3/10","3 Seasons","Babylon Berlin","Crime TV Shows, International TV Shows, TV Dramas","",NA,NA,"Volker Bruch, Liv Lisa Fries, Peter Kurth, Leonie Benesch, Matthias Brandt, Severija Janusauskaite, Fritzi Haberlandt, Ivan Shvedoff, Lars Eidinger, Anton von Lucke, Misel Maticevic","Germany","March 1, 2020"
"2019","6.1/10","130 min","Bhangra Paa Le","Comedies, Dramas, International Movies","","March 1, 2020","Sneha Taurani","Sunny Kaushal, Rukshar Dhillon, Shriya Pilgaonkar, Parmeet Sethi, Samir Soni, Chaitanya Sharma, Sheeba Chaddha, Akarsh Khurana","India",NA
"2020",NA,"1 Season","Calico Critters Mini Episodes Clover","Kids' TV","","March 1, 2020",NA,"Stephanie Sheh, Erika Harlacher, Julie Maddalena, Dorothy Fahn, Anne Yatco, Cherami Leigh, Doug Erholtz, Keith Silverstein",NA,NA
"2019",NA,"11 min","Calico Critters: Everyone's Big Dream Flying in the Sky","Children & Family Movies","","March 1, 2020","Momoko Kamiya","Erika Harlacher",NA,NA
"2016","6.0/10","87 min","Frank & Lola","Dramas, Thrillers","","March 1, 2020","Matthew Ross","Michael Shannon, Imogen Poots, Michael Nyqvist, Justin Long, Stella Schnabel, Rosanna Arquette, Emmanuelle Devos","United States",NA
"2011","7.4/10","127 min","Hugo","Children & Family Movies, Dramas","","March 1, 2020","Martin Scorsese","Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz, Ray Winstone, Emily Mortimer, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Frances de la Tour, Jude Law, Johnny Depp, Edmund Kingsley, Richard Griffiths, Angus Barnett, Michael Pitt, Gulliver McGrath, Eric Moreau, Chloe Grace Moretz","United Kingdom, United States, France",NA
"2016","5.7/10","87 min","Ordinary World","Comedies, Dramas, Music & Musicals","","March 1, 2020","Lee Kirk","Billie Joe Armstrong, Fred Armisen, Judy Greer, Selma Blair, Chris Messina, Brian Baumgartner, John Doman, Madisyn Shipman, Kevin Corrigan, Mia Dillon, Lucas Papaelias","United States",NA
"2017",NA,"88 min","Pop, Lock 'n Roll","Dramas, International Movies, Romantic Movies","","March 1, 2020","Ziggy Hofmeyr","Maurice Paige, Yasirah Bhelz, Lionel Newton, Tarryn Alberts, Sandile Sand Zulu, Duane Lawrence, Robyn Brophy, Brady Brophy, Raylene Jacobs, Jason Meyer","South Africa",NA
"2007","8.3/10","158 min","There Will Be Blood","Dramas, Independent Movies","","March 1, 2020","Paul Thomas Anderson","Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds, Dillon Freasier, Sydney McCallister, David Willis, David Warshofsky, Colton Woodward, Russell Harvard","United States",NA
"2020",NA,"82 min","Velvet Colección: Grand Finale","Dramas, International Movies, Romantic Movies","","March 1, 2020","Gustavo Ron","Marta Hazas, Asier Etxeandia, Adrián Lastra, Javier Rey, Llorenç González, Andrea Duro, Fernando Guallar, Diego Martín, Andrés Velencoso, Maxi Iglesias",NA,NA
"2018","6.7/10","93 min","Voulez-vous rire avec moi ce soir?","Documentaries, International Movies","","March 1, 2020","Yacine Belhousse","Gad Elmaleh, Eddie Izzard, Bill Burr, Todd Barry, Kyan Khojandi, Judah Friedlander, Blanche Gardin, Mike Ward, Igor Meerson, Dan Naturman, Tony Law, Daniel Gagnon, Sebastian Marx, Michael Mittermeier, Paul Taylor, Korine Côté, Guillermo Guiz, Virginie Fortin, Francesco De Carlo","France",NA
"2019","7.6/10","90 min","ZZ TOP: THAT LITTLE OL' BAND FROM TEXAS","Documentaries, Music & Musicals","","March 1, 2020","Sam Dunn",NA,"United Kingdom, Canada, United States",NA
"2020","6.6/10","109 min","All The Bright Places","Dramas, Romantic Movies","","February 28, 2020","Brett Haley","Elle Fanning, Justice Smith, Luke Wilson, Keegan-Michael Key, Alexandra Shipp, Lamar Johnson, Virginia Gardner, Kelli O'Hara, Felix Mallard, Sofia Hasmik","United States",NA
"2019","6.3/10","2 Seasons","Always a Witch","International TV Shows, Spanish-Language TV Shows, TV Comedies","",NA,NA,"Angely Gaviria, Sebastián Eslava, Luis Fernando Hoyos, Verónica Orozco, Lenard Vanderaa, Sofía Araujo, Dylan Fuentes, Valeria Emiliani, Dubán Prado, Carlos Quintero","Colombia","February 28, 2020"
"2019","7.2/10","72 min","Amit Tandon: Family Tandoncies","Stand-Up Comedy","","February 28, 2020",NA,"Amit Tandon","India",NA
"2020","6.2/10","1 Season","Queen Sono","International TV Shows, TV Action & Adventure, TV Dramas","","February 28, 2020",NA,"Pearl Thusi, Vuyo Dabula, Loyiso Madinga, Kate Liquorish, Sechaba Morojele, Rob van Vuuren, Chi Mhende, Otto Nobela, Khathu Ramabulana, Enhle Mlotshwa","South Africa",NA
"2019","6.6/10","1 Season","Toy Boy","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","","February 28, 2020",NA,"Jesús Mosquera, Cristina Castano, María Pedraza, José de la Torre, Carlo Costanzia, Raudel Raúl Martiato, Juanjo Almeida, José Manuel Seda, Álex Gadea, Javier Mora, Pedro Casablanc, Elisa Matilla, María Pujalte, Adelfa Calvo","Spain",NA
"2020","7.2/10","1 Season","Unstoppable","International TV Shows, Spanish-Language TV Shows, TV Dramas","","February 28, 2020",NA,"Tessa Ia, Bárbara López, Lucía Uribe, Coty Camacho, Diego Calva Hernández, Tomás Ruiz","Mexico",NA
"2020","7.1/10","162 min","Ala Vaikunthapurramuloo","Action & Adventure, Comedies, Dramas","","February 27, 2020","Trivikram Srinivas","Allu Arjun, Pooja Hegde, Tabu, Sushanth, Nivetha Pethuraj, Jayaram, Murli Sharma","India",NA
"2020","7.9/10","2 Seasons","Altered Carbon","Crime TV Shows, TV Action & Adventure, TV Dramas","",NA,NA,"Joel Kinnaman, James Purefoy, Martha Higareda, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee, Kristin Lehman, Chris Conner, Ato Essandoh, Tamara Taylor, Byron Mann","United States","February 27, 2020"
"2020","6.2/10","1 Season","Followers","International TV Shows, TV Dramas","","February 27, 2020",NA,"Miki Nakatani, Elaiza Ikeda, Mari Natsuki, Yuka Itaya, KOM_I, Mika Nakashima, Tadanobu Asano, Shuhei Uesugi, Nobuaki Kaneko, Hidekazu Mashima, Sho Kasamatsu, Yutaro","Japan",NA
"2019","5.5/10","98 min","Pokémon: Mewtwo Strikes Back - Evolution","Anime Features, Children & Family Movies","","February 27, 2020","Kunihiko Yuyama, Motonori Sakakibara","Sarah Natochenny, Dan Green, Bill Rogers, Michele Knotz, Alyson Leigh Rosenfeld, Rodger Parsons","Japan",NA
"2020","4.3/10","1 Season","Six Windows in the Desert","TV Shows","","February 27, 2020","Ali Kalthami, Meshal Aljaser, Faris Godus, Mohamed al Salman, Faisal al Amer","Moayad Alnefaie, Mohammed Alhamdan, Citi Bet Baydi, Sadeem Alshehri, Mohammed Albakri, Moayed Althagafi, Hussain Alyahya, Abeer Alotaibi, Zara Albalushi, Ali Alshehabi","Saudi Arabia",NA
"2019","6.5/10","97 min","The Angry Birds Movie 2","Children & Family Movies, Comedies","","February 27, 2020","Thurop Van Orman, John Rice","Jason Sudeikis, Rachel Bloom, Leslie Jones, Josh Gad, Bill Hader, Danny McBride, Awkwafina, Sterling K. Brown, Tiffany Haddish, Eugenio Derbez","Finland, United States, Canada",NA
"2016",NA,"103 min","Couple of Days","Dramas, International Movies, Romantic Movies","","February 26, 2020","Tolu Awobiyi","Lilian Esoro, Ademola Adedoyin, Enyima Nwigwe, Kiki Omeili, Okey Uzoeshi, Adesua Etomi, Olayode Juliana, Falz","Nigeria",NA
"2015","5.3/10","97 min","Gbomo Gbomo Express","Dramas, International Movies","","February 26, 2020","Walter Taylaur","Ramsey Nouah, Gideon Okeke, Osas Ighodaro Ajibade, Blossom Chukwujekwu, Kiki Omeili, Gbenro Ajibade, Ikechukwu, Alexx Ekubo, Shaffy Bello","Nigeria",NA
"2020","7.4/10","1 Season","I Am Not Okay With This","TV Comedies, TV Dramas, TV Sci-Fi & Fantasy","","February 26, 2020",NA,"Sophia Lillis, Wyatt Oleff, Kathleen Rose Perkins, Sofia Bryant, Richard Ellis, Sophia Tatum, David Theune, Zachary S. Williams, Aidan Wojtak-Hissong","United States",NA
"2015","5.8/10","94 min","Taxi Driver","Comedies, Dramas, Independent Movies","","February 26, 2020","Daniel Oriahi","Odunlade Adekola, Ijeoma Grace Agu, Richard Akinlade, Babajide Alimison, Hafeez Oyetoro, Femi Jacobs, Toyin Oshinaike, Kelechi Udegbe","Nigeria",NA
"2016","5.2/10","101 min","The Arbitration","Dramas, International Movies","","February 26, 2020","Niyi Akinmolayan","Adesua Etomi, O.C. Ukeje, Ireti Doyle, Sola Fosudo, Somkele Iyamah, Lota Chukwu, Gregory Ojefua, Beverly Naya, Bimbo Ademoye, Pius Fatoke","Nigeria",NA
"2020","8.2/10","1 Season","The Trials of Gabriel Fernandez","Crime TV Shows, Docuseries","","February 26, 2020",NA,NA,"United States",NA
"2015",NA,"138 min","The Visit","Dramas, Independent Movies, International Movies","","February 26, 2020","Oyefunke Fayoyin","Nse Ikpe-Etim, Femi Jacobs, Blossom Chukwujekwu, Bayray McNwizu",NA,NA
"2014","4.6/10","109 min","When Love Happens","International Movies, Romantic Movies","","February 26, 2020","Seyi Babatope","Weruche Opia, Gideon Okeke, Beverly Naya, O.C. Ukeje, Shaffy Bello, Oreka Godis","Nigeria",NA
"2019","5.4/10","98 min","Every Time I Die","Dramas, Independent Movies, Thrillers","","February 25, 2020","Robi Michael","Drew Fonteiro, Marc Menchaca, Michelle Macedo, Tyler Fleming, Melissa Macedo, Kenneth Moronta, Frankie Hinton","United States",NA
"2020","6.3/10","50 min","Pete Davidson: Alive From New York","Stand-Up Comedy","","February 25, 2020","Jason Orley","Pete Davidson","United States",NA
"2019","5.5/10","110 min","Full Count","Children & Family Movies, Dramas, Faith & Spirituality","","February 23, 2020","Robert Eagar","John Paul Kakos, Natalia Livingston, E. Roger Mitchell, Rick Hearst, Jason London, Victoria Elizabeth Staley, Adam Boyer","United States",NA
"2020","8.0/10","1 Season","Hi Bye, Mama!","International TV Shows, Korean TV Shows, Romantic TV Shows","","February 23, 2020",NA,"Kim Tae-hee, Lee Kyoo-hyung, Go Bo-gyeol, Shin Dong-mi, Seo Woo-jin, Lee Si-woo, Oh Eui-sik, Ahn Nae-sang, Kim Mee-kyeong, Park Su-young, Kim Mi-su, Yoon Sa-bong","South Korea",NA
"2019","4.5/10","92 min","Girl on the Third Floor","Horror Movies","","February 22, 2020","Travis Stevens","CM Punk, Trieste Kelly Dunn, Sarah Brooks, Elissa Dowling, Karen Woditsch, Marshall Bean, Anish Jethmalani, Bishop Stevens, Tonya Kay","United States",NA
"2018","7.3/10","1 Season","Unabomber - In His Own Words","Crime TV Shows, Docuseries","","February 22, 2020","Mick Grogan","Ted Kaczynski","Canada",NA
"2020","7.3/10","1 Season","Gentefied","TV Comedies, TV Dramas","","February 21, 2020",NA,"J.J. Soria, Carlos Santos, Karrie Martin, Joaquín Cosío, Julissa Calderon, Annie Gonzalez, Laura Patalano, Felipe Esparza","United States",NA
"2020","7.9/10","1 Season","Hyena","International TV Shows, Korean TV Shows, Romantic TV Shows","","February 21, 2020",NA,"Kim Hye-soo, Ju Ji-hoon, Lee Gyoung-young, Kim Ho-jung, Song Young-kyu, Hwang Bo-ra, Jeon Seok-ho, Hyun Bong-sik, Park Se-jin","South Korea",NA
"2020",NA,"1 Season","Passion. Panache. Pep","International TV Shows, Reality TV","","February 21, 2020",NA,NA,NA,NA
"2020","5.9/10","1 Season","Puerta 7","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","","February 21, 2020",NA,"Dolores Fonzi, Esteban Lamothe, Carlos Belloso, Juan Gil Navarro, Daniel Aráoz, Antonio Grimau, Ignacio Quesada, Mónica Ayos, Daniel Valenzuela","Argentina",NA
"2020","7.7/10","120 min","System Crasher","Dramas, Independent Movies, International Movies","","February 21, 2020","Nora Fingscheidt","Helena Zengel, Albrecht Schuch, Gabriela Maria Schmeide, Lisa Hagmeister, Melanie Straub, Victoria Trauttmansdorff, Maryam Zaree, Tedros Teclebrhan","Germany",NA
"2019","5.5/10","101 min","The Body","International Movies, Thrillers","","February 21, 2020","Jeethu Joseph","Rishi Kapoor, Emraan Hashmi, Sobhita Dhulipala, Vedika, Anupam Bhattacharya, Chandan Anand, Arif Zakaria, Rukhsar Ahmed","India",NA
"2020","4.2/10","116 min","The Last Thing He Wanted","Dramas, Thrillers","","February 21, 2020","Dee Rees","Anne Hathaway, Ben Affleck, Willem Dafoe, Toby Jones, Rosie Perez, Edi Gathegi, Mel Rodriguez, Onata Aprile","United States",NA
"2020","7.5/10","117 min","Yeh Ballet","Dramas, International Movies","","February 21, 2020","Sooni Taraporevala","Julian Sands, Manish Chauhan, Achintya Bose, Jim Sarbh, Danish Husain, Vijay Maurya, Heeba Shah, Kalyanee Mulay","India",NA
"2012","4.8/10","95 min","Pretville","Comedies, International Movies, Music & Musicals","","February 20, 2020","Linda Korsten","Marlee van der Merwe, Eugene Jensen, Marno van der Merwe, Lizelle de Klerk, Steve Hofmeyr, Sanet Ackermann, Terence Bridgett, Annette Engelbrecht, Rina Nienaber, Lizz Meiring","South Africa",NA
"2020","4.5/10","1 Season","Spectros","International TV Shows, TV Horror, TV Mysteries","","February 20, 2020",NA,"Danilo Mesquita, Cláudia Okuno, Mariana Sena, Enzo Barone, Drop Dashi, Miwa Yanagizawa, Carlos Takeshi, Daniel Rocha, Kelzy Ecard, Norival Rizzo, Nicolas Trevijano, Jui Huang, Jimmy Wong, Fania Espinosa, Wallie Ruy, Bege Muniz, Antonio Miano, Ricardo Iazzetta, Mayhara Ribeiro, Jairo Mattos","Brazil",NA
"2018","8.5/10","93 min","Untamed Romania","Children & Family Movies, Documentaries, International Movies","","February 20, 2020","Tom Barton-Humphreys",NA,"Romania, United Kingdom",NA
"2008","6.8/10","1 Season","DreamWorks Shrek's Swamp Stories","Kids' TV, TV Action & Adventure, TV Comedies","","February 17, 2020",NA,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Kristen Schaal, Simon Cowell, Gilles Marini, Charlotte Newhouse, Dean Edwards, Cody Cameron, Christopher Knights, Conrad Vernon","United States",NA
"2015","5.5/10","122 min","By the Sea","Dramas, Romantic Movies","","February 16, 2020","Angelina Jolie","Angelina Jolie, Brad Pitt, Mélanie Laurent, Melvil Poupaud, Niels Arestrup, Richard Bohringer","France, Malta, United States",NA
